# prerequisite	course	score	count_prereq	count_course	p_prereq	p_course
HUMBIO3A	HUMBIO4A	0.91672753834916	1369.0	1324.0	0.0866620244350193	0.08381338228777616
HUMBIO3B	HUMBIO4B	0.9068736141906873	1353.0	1299.0	0.0856491738937773	0.08223080331708552
HUMBIO3B	HUMBIO4A	0.9061345158906134	1353.0	1324.0	0.0856491738937773	0.08381338228777616
HUMBIO3A	HUMBIO4B	0.8860482103725347	1369.0	1299.0	0.0866620244350193	0.08223080331708552
CHEM31A	CHEM31B	0.8562543192812716	2894.0	2540.0	0.18319934164714818	0.16079002342216878
HUMBIO2B	HUMBIO3B	0.8342105263157895	1520.0	1353.0	0.09622080141799076	0.0856491738937773
HUMBIO2A	HUMBIO3A	0.8288113695090439	1548.0	1369.0	0.09799328986516427	0.0866620244350193
HUMBIO2B	HUMBIO3A	0.8236842105263158	1520.0	1369.0	0.09622080141799076	0.0866620244350193
HUMBIO2A	HUMBIO3B	0.8171834625322998	1548.0	1353.0	0.09799328986516427	0.0856491738937773
SPANLANG2	SPANLANG3	0.7929155313351499	1101.0	1552.0	0.06969677786921567	0.09824650250047477
HUMBIO2A	HUMBIO4A	0.7803617571059431	1548.0	1324.0	0.09799328986516427	0.08381338228777616
BIO41	BIO42	0.7773775216138329	1388.0	1196.0	0.08786478445274419	0.0757105779578401
HUMBIO2B	HUMBIO4A	0.7769736842105263	1520.0	1324.0	0.09622080141799076	0.08381338228777616
HUMBIO2B	HUMBIO4B	0.7703947368421052	1520.0	1299.0	0.09622080141799076	0.08223080331708552
HUMBIO2A	HUMBIO4B	0.7558139534883721	1548.0	1299.0	0.09799328986516427	0.08223080331708552
MATH19	MATH20	0.7272113436866982	1481.0	1701.0	0.09375197822371337	0.10767867316579097
CHEM31X	CHEM33	0.7234212629896083	1251.0	3118.0	0.0791922516933595	0.1973792492245363
PHYSICS22	PHYSICS23	0.707193515704154	987.0	1204.0	0.062480217762866365	0.0762170032284611
MATH20	MATH21	0.7066431510875956	1701.0	1633.0	0.10767867316579097	0.10337405836551244
PHYSICS22	PHYSICS24	0.6919959473150963	987.0	955.0	0.062480217762866365	0.060454516680382354
MATH41	MATH42	0.6872146118721462	876.0	1115.0	0.05545356713299994	0.07058302209280243
CHEM31B	CHEM33	0.6854330708661417	2540.0	3118.0	0.16079002342216878	0.1973792492245363
PHYSICS21	PHYSICS23	0.6824561403508772	1140.0	1204.0	0.07216560106349307	0.0762170032284611
ME104B	<END>	0.6654578422484134	1103.0	15797.0	0.06982338418687092	1.0
HUMBIO197	<END>	0.6636568848758465	886.0	15797.0	0.05608659872127619	1.0
PHYSICS42	PHYSICS43	0.6222030981067126	1162.0	3030.0	0.07355827055770083	0.19180857124770526
CHEM36	CHEM130	0.6212590299277606	969.0	1268.0	0.06134076090396911	0.08026840539342914
PHYSICS21	PHYSICS24	0.6008771929824561	1140.0	955.0	0.07216560106349307	0.060454516680382354
CHEM31A	CHEM33	0.5836212854181064	2894.0	3118.0	0.18319934164714818	0.1973792492245363
PHYSICS41	PHYSICS43	0.5778038755137992	3406.0	3030.0	0.21561055896689243	0.19180857124770526
CHEM35	CHEM131	0.5540152963671128	2092.0	1442.0	0.13243020826739255	0.09128315502943597
CHEM33	CHEM35	0.5535599743425272	3118.0	2092.0	0.1973792492245363	0.13243020826739255
CHEM36	CHEM131	0.5469556243550051	969.0	1442.0	0.06134076090396911	0.09128315502943597
ECON50	ECON51	0.5321637426900585	1881.0	1273.0	0.11907324175476357	0.08058492118756726
MATH19	MATH21	0.49966239027683995	1481.0	1633.0	0.09375197822371337	0.10337405836551244
ECON102A	ECON102B	0.4977973568281938	1589.0	1039.0	0.10058871937709692	0.06577198202190289
CHEM31X	CHEM35	0.49320543565147884	1251.0	2092.0	0.0791922516933595	0.13243020826739255
CS103	CS109	0.49111178065682437	3319.0	2672.0	0.21010318414888904	0.16914604038741532
CS124	<END>	0.47609942638623326	1046.0	15797.0	0.06621510413369627	1.0
CS106B	CS107	0.4748302037554934	5006.0	3393.0	0.31689561309109326	0.21478761790213333
CS106A	CS106B	0.45873452544704263	7270.0	5006.0	0.4602139646768374	0.31689561309109326
CS107	CS109	0.44090775125257886	3393.0	2672.0	0.21478761790213333	0.16914604038741532
PHYSICS42	PHYSICS44	0.4406196213425129	1162.0	890.0	0.07355827055770083	0.056339811356586694
MATH52	MATH53	0.43887623386484437	1317.0	1810.0	0.08337026017598279	0.11457871747800215
CME100	CME102	0.43660009289363677	2153.0	1447.0	0.1362917009558777	0.09159967082357409
ME101	ME203	0.42889221556886226	1336.0	1017.0	0.08457302019370766	0.06437931252769513
ECON51	ECON52	0.4265514532600157	1273.0	851.0	0.08058492118756726	0.0538709881623093
CS107	CS110	0.41998231653404067	3393.0	1927.0	0.21478761790213333	0.12198518706083433
ME101	ME103D	0.4199101796407186	1336.0	960.0	0.08457302019370766	0.06077103247452048
BIO150	<END>	0.4193817878028404	1197.0	15797.0	0.07577388111666772	1.0
MATH42	MATH51	0.4179372197309417	1115.0	5086.0	0.07058302209280243	0.3219598657973033
CS109	CS161	0.4176646706586826	2672.0	1990.0	0.16914604038741532	0.12597328606697475
MS&E193	<END>	0.41414141414141414	990.0	15797.0	0.06267012723934924	1.0
ECON1A	ECON1B	0.4089775561097257	1604.0	893.0	0.1015382667595113	0.05652972083306957
MS&E180	<END>	0.4079207920792079	1010.0	15797.0	0.06393619041590175	1.0
CS181W	<END>	0.4032258064516129	930.0	15797.0	0.058871937709691714	1.0
CS110	CS161	0.40217955371043074	1927.0	1990.0	0.12198518706083433	0.12597328606697475
CS145	<END>	0.39975550122249387	818.0	15797.0	0.05178198392099766	1.0
