is_internal	prereq	department	count	p	role	course	department	count	p	role	weight
internal	HUMBIO3A	HUMBIO	1369.0	0.0866620244350193	0	HUMBIO4A	HUMBIO	1324.0	0.08381338228777616	0	0.91672753834916	
internal	HUMBIO3B	HUMBIO	1353.0	0.0856491738937773	0	HUMBIO4B	HUMBIO	1299.0	0.08223080331708552	0	0.9068736141906873	
internal	HUMBIO3B	HUMBIO	1353.0	0.0856491738937773	0	HUMBIO4A	HUMBIO	1324.0	0.08381338228777616	0	0.9061345158906134	
internal	HUMBIO3A	HUMBIO	1369.0	0.0866620244350193	0	HUMBIO4B	HUMBIO	1299.0	0.08223080331708552	0	0.8860482103725347	
internal	CHEM31A	CHEM	2894.0	0.18319934164714818	0	CHEM31B	CHEM	2540.0	0.16079002342216878	0	0.8562543192812716	
internal	HUMBIO2B	HUMBIO	1520.0	0.09622080141799076	0	HUMBIO3B	HUMBIO	1353.0	0.0856491738937773	0	0.8342105263157895	
internal	HUMBIO2A	HUMBIO	1548.0	0.09799328986516427	0	HUMBIO3A	HUMBIO	1369.0	0.0866620244350193	0	0.8288113695090439	
internal	HUMBIO2B	HUMBIO	1520.0	0.09622080141799076	0	HUMBIO3A	HUMBIO	1369.0	0.0866620244350193	0	0.8236842105263158	
internal	HUMBIO2A	HUMBIO	1548.0	0.09799328986516427	0	HUMBIO3B	HUMBIO	1353.0	0.0856491738937773	0	0.8171834625322998	
internal	SPANLANG2	SPANLANG	1101.0	0.06969677786921567	0	SPANLANG3	SPANLANG	1552.0	0.09824650250047477	0	0.7929155313351499	
internal	HUMBIO2A	HUMBIO	1548.0	0.09799328986516427	0	HUMBIO4A	HUMBIO	1324.0	0.08381338228777616	0	0.7803617571059431	
internal	BIO41	BIO	1388.0	0.08786478445274419	0	BIO42	BIO	1196.0	0.0757105779578401	0	0.7773775216138329	
internal	HUMBIO2B	HUMBIO	1520.0	0.09622080141799076	0	HUMBIO4A	HUMBIO	1324.0	0.08381338228777616	0	0.7769736842105263	
internal	HUMBIO2B	HUMBIO	1520.0	0.09622080141799076	0	HUMBIO4B	HUMBIO	1299.0	0.08223080331708552	0	0.7703947368421052	
internal	HUMBIO2A	HUMBIO	1548.0	0.09799328986516427	0	HUMBIO4B	HUMBIO	1299.0	0.08223080331708552	0	0.7558139534883721	
internal	MATH19	MATH	1481.0	0.09375197822371337	0	MATH20	MATH	1701.0	0.10767867316579097	0	0.7272113436866982	
internal	CHEM31X	CHEM	1251.0	0.0791922516933595	0	CHEM33	CHEM	3118.0	0.1973792492245363	0	0.7234212629896083	
internal	PHYSICS22	PHYSICS	987.0	0.062480217762866365	0	PHYSICS23	PHYSICS	1204.0	0.0762170032284611	0	0.707193515704154	
internal	MATH20	MATH	1701.0	0.10767867316579097	0	MATH21	MATH	1633.0	0.10337405836551244	0	0.7066431510875956	
internal	PHYSICS22	PHYSICS	987.0	0.062480217762866365	0	PHYSICS24	PHYSICS	955.0	0.060454516680382354	0	0.6919959473150963	
internal	MATH41	MATH	876.0	0.05545356713299994	0	MATH42	MATH	1115.0	0.07058302209280243	0	0.6872146118721462	
internal	CHEM31B	CHEM	2540.0	0.16079002342216878	0	CHEM33	CHEM	3118.0	0.1973792492245363	0	0.6854330708661417	
internal	PHYSICS21	PHYSICS	1140.0	0.07216560106349307	0	PHYSICS23	PHYSICS	1204.0	0.0762170032284611	0	0.6824561403508772	
external	ME104B	ME	1103.0	0.06982338418687092	0	<END>	special	15797.0	1.0	0	0.6654578422484134	
external	HUMBIO197	HUMBIO	886.0	0.05608659872127619	0	<END>	special	15797.0	1.0	0	0.6636568848758465	
